Stop Name,Borough,GTFS Latitude,GTFS Longitude,Zip Code,Elevator,Dist to Elev
Roosevelt Island,M,40.759145000000004,-73.95326,10044,True,0.0
Lexington Av/63 St,M,40.764629,-73.966113,10065,True,0.0
57 St,M,40.763971999999995,-73.97745,10019,False,0.4
47-50 Sts - Rockefeller Ctr,M,40.758663,-73.981329,10020,True,0.0
42 St - Bryant Pk,M,40.754222,-73.984569,10018,False,0.2
34 St - Herald Sq,M,40.749719,-73.98782299999998,10001,True,0.0
23 St,M,40.74287800000001,-73.99282099999998,10011,False,0.2
14 St,M,40.738228,-73.996209,10011,False,0.1
Broadway-Lafayette St,M,40.725297,-73.996204,10012,True,0.0
Grand St,M,40.718267,-73.993753,10017,False,0.4
2 Av,M,40.723402,-73.989938,10002,False,0.4
Delancey St,M,40.718610999999996,-73.988114,10012,False,0.8
East Broadway,M,40.713715,-73.990173,10002,False,0.2
Lexington Av/53 St,M,40.757552000000004,-73.96905500000003,10022,True,0.0
5 Av/53 St,M,40.760166999999996,-73.975224,10022,False,0.4
7 Av,M,40.762862,-73.981637,10019,False,0.2
Marble Hill - 225 St,M,40.874561,-73.90983100000003,10034,False,0.1
215 St,M,40.869444,-73.915279,10018,False,0.2
207 St,M,40.864621,-73.91882199999998,10034,False,0.0
Dyckman St,M,40.860531,-73.925536,10034,True,0.0
191 St,M,40.855225,-73.929412,10040,False,0.0
181 St,M,40.849505,-73.933596,10033,False,0.0
168 St - Washington Hts,M,40.840556,-73.94013299999997,10032,True,0.0
157 St,M,40.834041,-73.94489,10018,False,0.5
145 St,M,40.826551,-73.95036,10031,False,0.8
137 St - City College,M,40.822008000000004,-73.953676,10031,False,0.5
125 St,M,40.815581,-73.958372,10027,True,0.0
116 St - Columbia University,M,40.807722,-73.96410999999998,10027,False,0.6
Cathedral Pkwy,M,40.803967,-73.966847,10022,False,0.8
103 St,M,40.799446,-73.968379,10025,False,0.4
96 St,M,40.793919,-73.972323,10029,True,0.0
86 St,M,40.788644,-73.976218,10028,True,0.0
79 St,M,40.783934,-73.979917,10024,False,0.4
72 St,M,40.778453000000006,-73.98196999999998,10021,True,0.0
66 St - Lincoln Center,M,40.77344,-73.982209,10023,True,0.0
59 St - Columbus Circle,M,40.768246999999995,-73.98192900000002,10023,True,0.0
50 St,M,40.76172800000001,-73.98384899999998,10019,True,0.0
Times Sq - 42 St,M,40.75529,-73.987495,10018,True,0.0
34 St - Penn Station,M,40.750372999999996,-73.991057,10001,True,0.0
28 St,M,40.747215000000004,-73.993365,10001,True,0.0
23 St,M,40.744081,-73.995657,10011,False,0.2
18 St,M,40.74104000000001,-73.99787099999998,10018,False,0.0
14 St,M,40.737826,-74.000201,10011,False,0.2
Christopher St - Sheridan Sq,M,40.733422,-74.00290600000002,10014,False,0.1
Houston St,M,40.728251,-74.005367,10014,False,0.4
Canal St,M,40.722854,-74.006277,10013,True,0.0
Franklin St,M,40.719318,-74.006886,10018,False,0.2
Chambers St,M,40.715478000000004,-74.009266,10013,True,0.0
WTC Cortlandt,M,40.711835,-74.012188,10007,True,0.0
Rector St,M,40.707513,-74.01378299999998,10018,False,0.2
South Ferry,M,40.702068,-74.013664,10004,True,0.0
Park Pl,M,40.713051,-74.008811,10007,False,0.1
Fulton St,M,40.709416,-74.006571,10038,True,0.0
Wall St,M,40.70682100000001,-74.0091,10038,False,0.3
125 St,M,40.804138,-73.93759399999998,10027,True,0.0
116 St,M,40.798629,-73.94161700000002,10035,False,0.4
110 St,M,40.79502,-73.94425,10029,False,0.7
103 St,M,40.7906,-73.947478,10025,False,0.4
96 St,M,40.785672,-73.95107,10029,True,0.0
86 St,M,40.779492,-73.955589,10028,True,0.0
77 St,M,40.77362,-73.959874,10075,False,0.5
68 St - Hunter College,M,40.768141,-73.96387,10021,False,0.3
59 St,M,40.762526,-73.967967,10022,False,0.2
51 St,M,40.757107,-73.97192,10022,True,0.0
