Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label
119,119,L06,BMT,Canarsie,1 Av,M,L,Subway,40.730953,-73.981628,8 Av,Brooklyn
156,156,A18,IND,8th Av - Fulton St,103 St,M,B C,Subway,40.796092,-73.961454,Uptown & The Bronx,Downtown & Brooklyn
309,309,119,IRT,Broadway - 7Av,103 St,M,1,Subway,40.799446,-73.968379,Uptown & The Bronx,Downtown
395,395,624,IRT,Lexington Av,103 St,M,6,Subway,40.7906,-73.947478,Uptown & The Bronx,Downtown
394,394,623,IRT,Lexington Av,110 St,M,6,Subway,40.79502,-73.94425,Uptown & The Bronx,Downtown
154,154,A16,IND,8th Av - Fulton St,116 St,M,B C,Subway,40.805085,-73.954882,Uptown & The Bronx,Downtown & Brooklyn
393,393,622,IRT,Lexington Av,116 St,M,6,Subway,40.798629,-73.94161700000001,Uptown & The Bronx,Downtown
440,440,226,IRT,Lenox - White Plains Rd,116 St,M,2 3,Subway,40.802098,-73.949625,Uptown & The Bronx,Downtown & Brooklyn
307,307,117,IRT,Broadway - 7Av,116 St - Columbia University,M,1,Subway,40.807722,-73.96410999999999,Uptown & The Bronx,Downtown
306,306,116,IRT,Broadway - 7Av,125 St,M,1,Elevated,40.815581,-73.958372,Uptown & The Bronx,Downtown
439,439,225,IRT,Lenox - White Plains Rd,125 St,M,2 3,Subway,40.807753999999996,-73.945495,Uptown & The Bronx,Downtown & Brooklyn
152,152,A14,IND,8th Av - Fulton St,135 St,M,B C,Subway,40.817894,-73.947649,Uptown & The Bronx,Downtown & Brooklyn
305,305,115,IRT,Broadway - 7Av,137 St - City College,M,1,Subway,40.822008000000004,-73.953676,Uptown & The Bronx,Downtown
229,601,D19,IND,6th Av - Culver,14 St,M,F M,Subway,40.738228,-73.996209,Uptown & Queens,Downtown & Brooklyn
322,601,132,IRT,Broadway - 7Av,14 St,M,1 2 3,Subway,40.737826,-74.000201,Uptown & The Bronx,Downtown & Brooklyn
406,602,635,IRT,Lexington Av,14 St - Union Sq,M,4 5 6,Subway,40.734673,-73.989951,Uptown & The Bronx,Downtown & Brooklyn
151,151,A12,IND,8th Av - Fulton St,145 St,M,A C,Subway,40.824783000000004,-73.944216,Uptown & The Bronx,Downtown & Brooklyn
151,151,D13,IND,Concourse,145 St,M,B D,Subway,40.824783000000004,-73.944216,Uptown & The Bronx,Downtown & Brooklyn
304,304,114,IRT,Broadway - 7Av,145 St,M,1,Subway,40.826551,-73.95036,Uptown & The Bronx,Downtown
437,437,302,IRT,Lenox - White Plains Rd,145 St,M,3,Subway,40.820421,-73.936245,148 St,Downtown & Brooklyn
150,150,A11,IND,8th Av - Fulton St,155 St,M,C,Subway,40.830518,-73.941514,Uptown,Downtown & Brooklyn
220,220,D12,IND,Concourse,155 St,M,B D,Subway,40.830135,-73.938209,The Bronx,Downtown & Brooklyn
303,303,113,IRT,Broadway - 7Av,157 St,M,1,Subway,40.834041,-73.94489,Uptown & The Bronx,Downtown
149,149,A10,IND,8th Av - Fulton St,163 St - Amsterdam Av,M,C,Subway,40.836013,-73.939892,Uptown,Downtown & Brooklyn
302,605,112,IRT,Broadway - 7Av,168 St - Washington Hts,M,1,Subway,40.840556,-73.94013299999999,Uptown & The Bronx,Downtown
321,321,131,IRT,Broadway - 7Av,18 St,M,1,Subway,40.741040000000005,-73.99787099999999,Uptown & The Bronx,Downtown
146,146,A06,IND,8th Av - Fulton St,181 St,M,A,Subway,40.851695,-73.937969,207 St,Downtown & Brooklyn
301,301,111,IRT,Broadway - 7Av,181 St,M,1,Subway,40.849505,-73.933596,Uptown & The Bronx,Downtown
