,station,line,entries,exits
131,181 ST,A,780690.0,696585.0
132,175 ST,A,1018112.0,548735.0
133,168 ST,AC1,1446776.0,342068.0
134,163 ST-AMSTERDM,C,335431.0,272677.0
135,155 ST,C,215552.0,169292.0
136,145 ST,ABCD,1833296.0,1834789.0
137,135 ST,BC,656822.0,757658.0
138,125 ST,ACBD,2259867.0,2011730.0
139,116 ST,BC,559267.0,410749.0
140,CATHEDRAL PKWY,BC,594058.0,282374.0
141,103 ST,BC,361588.0,253248.0
142,96 ST,BC,746771.0,595937.0
143,86 ST,BC,836076.0,723145.0
144,81 ST-MUSEUM,BC,1031496.0,837642.0
145,72 ST,BC,712780.0,625781.0
146,59 ST COLUMBUS,ABCD1,5872461.0,3893297.0
147,50 ST,CE,1665371.0,1082420.0
148,42 ST-PORT AUTH,ACENGRS1237W,1078954.0,1079355.0
149,42 ST-PORT AUTH,ACENQRS1237W,6703563.0,5360428.0
150,34 ST-PENN STA,ACE,6132681.0,6325919.0
151,23 ST,CE,1765402.0,1748952.0
152,14 ST,ACEL,1658535.0,1771940.0
153,W 4 ST-WASH SQ,ABCDEFM,4221644.0,3276405.0
154,SPRING ST,CE,1063177.0,220660.0
155,CANAL ST,ACE,1565165.0,1425250.0
156,CHAMBERS ST,ACE23,2062698.0,1323752.0
157,WORLD TRADE CTR,ACE23,1319239.0,1047260.0
158,FULTON ST,2345ACJZ,5037938.0,5131886.0
159,HIGH ST,AC,900826.0,1071739.0
160,JAY ST-METROTEC,ACF,3071226.0,2146076.0
161,HOYT-SCHER,ACG,901925.0,774001.0
162,LAFAYETTE AV,C,412319.0,181119.0
163,CLINTON-WASH AV,C,552329.0,431178.0
164,FRANKLIN AV,ACS,489718.0,506103.0
165,NOSTRAND AV,AC,1356690.0,993379.0
166,KINGSTON-THROOP,C,654590.0,492329.0
167,UTICA AV,AC,1228059.0,1012726.0
168,RALPH AV,C,446441.0,236615.0
169,ROCKAWAY AV,C,440693.0,273386.0
170,BROADWAY JCT,ACJLZ,685063.0,652367.0
171,LIBERTY AV,C,211858.0,110247.0
172,VAN SICLEN AVE,C,226017.0,230219.0
173,SHEPHERD AV,C,240471.0,136974.0
174,EUCLID AV,AC,798690.0,269841.0
175,GRANT AV,A,428355.0,381244.0
176,80 ST,A,319772.0,176132.0
177,88 ST,A,209478.0,83645.0
178,ROCKAWAY BLVD,A,566769.0,166083.0
179,104 ST,A,132217.0,46116.0
180,111 ST,A,186118.0,63070.0
181,OZONE PK LEFFRT,A,544448.0,428409.0
182,AQUEDUCT N.COND,A,66658.0,138580.0
183,AQUEDUCT RACETR,A,139865.0,14266.0
184,BROAD CHANNEL,AS,22694.0,5693.0
185,BEACH 90 ST,AS,100613.0,76297.0
186,BEACH 98 ST,AS,34598.0,36160.0
187,BEACH 105 ST,AS,17710.0,21247.0
188,ROCKAWAY PARK B,AS,51636.0,60635.0
189,BEACH 67 ST,A,164950.0,122733.0
190,BEACH 60 ST,A,146030.0,113538.0
191,BEACH 44 ST,A,111676.0,196551.0
192,BEACH 36 ST,A,70227.0,77872.0
193,BEACH 25 ST,A,123247.0,144435.0
194,FAR ROCKAWAY,A,311243.0,341364.0
195,155 ST,BD,276694.0,153292.0
196,161/YANKEE STAD,BD4,1203533.0,761889.0
197,167 ST,BD,684641.0,308340.0
198,170 ST,BD,508335.0,283548.0
199,174-175 STS,BD,377226.0,203566.0
200,TREMONT AV,BD,727650.0,451888.0
201,182-183 STS,BD,365266.0,144974.0
202,FORDHAM RD,BD,892290.0,503045.0
203,KINGSBRIDGE RD,BD,602261.0,501908.0
204,BEDFORD PK BLVD,BD,1081826.0,789220.0
205,NORWOOD 205 ST,D,637727.0,476105.0
206,7 AV,BDE,1304842.0,1468902.0
207,5 AV/53 ST,EM,1808809.0,2003259.0
208,LEXINGTON AV/53,EM6,3005090.0,3676445.0
209,COURT SQ-23 ST,EMG,433553.0,162072.0
210,QUEENS PLAZA,EMR,1112126.0,994750.0
211,36 ST,MR,333969.0,231745.0
212,STEINWAY ST,MR,1095732.0,832142.0
213,46 ST,MR,636274.0,532729.0
214,NORTHERN BLVD,MR,476568.0,407420.0
215,65 ST,MR,251560.0,180394.0
216,JKSN HT-ROOSVLT,EFMR7,3777097.0,2945446.0
217,ELMHURST AV,MR,913946.0,275825.0
218,GRAND-NEWTOWN,MR,1375462.0,807253.0
219,WOODHAVEN BLVD,MR,1502592.0,990897.0
220,63 DR-REGO PARK,MR,1135284.0,459675.0
221,67 AV,MR,639389.0,321871.0
222,FOREST HILLS 71,EFMR,1934203.0,1616586.0
223,75 AV,EF,253715.0,73843.0
224,KEW GARDENS,EF,1845404.0,1855551.0
225,BRIARWOOD,EF,367983.0,196001.0
226,SUTPHIN BLVD,F,322291.0,250562.0
227,PARSONS BLVD,F,522982.0,584325.0
228,169 ST,F,596604.0,554928.0
229,JAMAICA 179 ST,F,1545348.0,649313.0
230,COURT SQ,EMG,890887.0,874691.0
231,21 ST,G,133780.0,148772.0
232,GREENPOINT AV,G,782416.0,606373.0
233,NASSAU AV,G,1379667.0,1173107.0
234,METROPOLITAN AV,GL,759158.0,523599.0
235,BROADWAY,G,393910.0,325775.0
236,FLUSHING AV,G,176752.0,193540.0
237,MYRTLE-WILLOUGH,G,453599.0,246331.0
238,BEDFORD-NOSTRAN,G,680480.0,416359.0
239,CLASSON AV,G,437484.0,426852.0
240,CLINTON-WASH AV,G,420180.0,216372.0
241,FULTON ST,G,470432.0,390791.0
242,47-50 STS ROCK,BDFM,5302495.0,4491830.0
243,42 ST-BRYANT PK,BDFM7,3206337.0,3176310.0
244,23 ST,FM,2281754.0,1917194.0
245,14 ST,FLM123,1432980.0,1667700.0
