Stop Name,Borough,GTFS Latitude,GTFS Longitude,Zip Code
WALL ST,M,40.707557,-74.011862,10038
Bowling Green,M,40.704817,-74.014065,10004
HARLEM 148 ST,M,40.82388,-73.93647,10039
145 ST,M,40.820421,-73.936245,10031
135 St,M,40.814229,-73.94077,10030
125 St,M,40.807754,-73.945495,10027
116 St,M,40.802098,-73.949625,10035
CENTRAL PK N110,M,40.799075,-73.951822,10026
Grand Central - 42 St,M,40.751431,-73.976041,10017
5 AVE,M,40.753821,-73.981963,10022
Times Sq - 42 St,M,40.755477,-73.987691,10018
Times Sq - 42 St,M,40.755983,-73.986229,10018
Grand Central - 42 St,M,40.752769,-73.979189,10017
34 ST-HUDSON YD,M,40.755882,-74.00191,10001
96 St,M,40.784318,-73.947152,10029
86 St,M,40.777891,-73.951787,10028
72 St,M,40.768799,-73.958424,10021
